DistanceFromTarget,ElevationDifference,GunTiltX,GunTiltY,XDifference,YDifference,Zdifference,HitOrMiss
11.13064,1.629699,56.15066,103.9944,-6.070036,1.629699,9.186401,0
35.25395,1.451187,85.58111,122.6831,-19.426,1.451187,29.38308,0
31.39436,1.539845,66.10981,30.8816,29.72967,1.539845,9.969028,0
28.41053,1.478322,76.34016,126.1326,-19.14731,1.478322,20.93689,0
27.51861,1.452241,84.90208,143.5206,-22.16933,1.452241,16.2384,0
51.73413,1.461526,80.88857,56.83764,27.76739,1.461526,43.62633,0
28.59085,1.526658,67.91482,42.98096,22.01192,1.526658,18.18189,0
43.68768,1.473307,77.52562,55.62365,24.17975,1.473307,36.35632,1
59.46477,1.468813,78.69135,55.65257,36.57068,1.468813,46.86669,0
43.41407,1.452364,84.82853,154.8666,-39.98533,1.452364,16.84773,0
32.95929,1.507279,70.85693,148.4908,-30.38342,1.507279,12.68428,0
5.973583,1.567498,62.68888,91.0894,1.491768,1.567498,5.567879,0
30.50666,1.479572,76.06006,152.3187,-28.39371,1.479572,11.05732,0
36.46294,1.455586,83.17978,128.8826,-23.39769,1.455586,27.92805,0
54.4733,1.464703,79.87257,80.26026,11.7941,1.464703,53.16102,0
48.37401,1.48597,74.705,92.68714,-0.5803146,1.48597,48.3477,0
25.40327,1.574367,61.89924,58.732,15.01627,1.574367,20.42937,0
29.2679,1.520018,68.87857,152.0364,-27.40809,1.520018,10.15363,0
54.00312,1.469268,78.56783,84.31936,1.353733,1.469268,53.96616,0
18.77707,1.450665,85.95961,60.03376,7.257689,1.450665,17.25687,0
43.61552,1.47526,77.05147,145.4698,-36.315,1.47526,24.11136,1
52.73678,1.474886,77.14081,72.49015,15.51965,1.474886,50.37989,1
35.36164,1.503369,71.50473,18.52881,35.32264,1.503369,0.7044029,0
46.39971,1.457039,82.55426,136.3151,-32.72073,1.457039,32.86585,0
14.00497,1.704504,49.52806,91.17929,-2.45938,1.704504,13.68157,0
59.51162,1.471703,77.92905,42.2373,46.28913,1.471703,37.37357,0
